Walor,Kurs (PLN),Zmiana (%),Otwarcie,Min,Max,Obrót (szt.),Obrót (PLN),"Czas
aktualizacji"
Olymp SA,0.26,-0.38,0.26,0.26,0.26,11244,2923,2026-03-30 11:21
One Solution SA,0.09,-2.13,0.09,0.09,0.09,148701,13627,2026-03-30 14:38
One2Tribe SA,0.24,1.71,0.24,0.24,0.24,1444,345,2026-03-30 14:28
Onico SA w restrukturyzacji ,14.5,0,0,0,0,0,0,2026-03-27
Optigis SA,0.4,0,0.39,0.39,0.4,7359,2883,2026-03-30 09:43
Organic Farma Zdrowia SA,8.7,0,0,0,0,0,0,2026-03-27
Orzeł SA,2.2,0,0,0,0,0,0,2026-03-27
Outdoorzy SA,1.59,0,1.59,1.52,1.59,6317,9877,2026-03-30 14:52
Ovid Works SA,0.7,0,0.7,0.65,0.71,31554,21204,2026-03-30 14:55
Oxygen SA,0.31,0,0,0,0,0,0,2026-03-27
OZE Capital SA,0.48,0,0.48,0.48,0.48,29,14,2026-03-30 09:00
Parcel Technik SA,0.56,0,0,0,0,0,0,2026-03-27
Partner-Nieruchomości SA,0.31,3.97,0.29,0.29,0.31,163796,48413,2026-03-30 14:50
PL Group SA,0.29,0,0,0,0,0,0,2026-03-27
Planet B2B SA,0.06,1.69,0.06,0.06,0.06,21000,1261,2026-03-30 14:48
Platige Image SA,5.56,0.36,5.62,5.32,5.62,579,3162,2026-03-30 14:36
Play2Chill SA,2.36,-1.67,2.3,2.3,2.38,1225,2863,2026-03-30 14:34
Plot Twist SA,1.47,1.38,1.47,1.47,1.47,7,10,2026-03-30 12:59
Pointpack SA,13.8,-0.36,13.4,13.4,13.8,108,1449,2026-03-30 14:00
Polaris IT Group SA,0.23,0,0,0,0,0,0,2026-03-27
Polkap SA w restrukturyzacji,0.79,0,0,0,0,0,0,2026-03-27
Polman SA,0.4,-7.83,0.4,0.4,0.4,2638,1055,2026-03-30 13:15
Polski Holding Rozwoju SA,2.66,0,2.66,2.66,2.66,7,19,2026-03-30 09:58
Poltronic SA,0.74,-4.52,0.73,0.7,0.74,1404,1025,2026-03-30 14:00
Polyslash SA,1.32,0,0,0,0,0,0,2026-03-27
Prefa Group SA,31.4,0,0,0,0,0,0,2026-03-27
Present24 SA,0.1,-9.09,0.11,0.1,0.11,14995,1500,2026-03-30 14:34
President Studio SA,106.92,-0.67,107.6,104.8,107.76,514,54686,2026-03-30 14:52
Prime ASI SA,0.94,0,0.94,0.94,0.94,12,11,2026-03-30 09:53
